research_order,batch,source_priority_rank,season,team_id,candidate_coach_name,starting_status,ending_status,coach_id,coach_canonical_name,start_week,end_week,interval_status,is_shared,source_url,corroborating_source_url,source_title,source_publisher,publication_date,source_family,evidence_locator,evidence_summary,proves_identity,proves_initial_designation,proves_continuity,proves_transition,proves_shared_duties,contradictory_evidence,research_notes,recoverability,disposition
8,mandatory_top10,8,2021,GB,Matt LaFleur,provisional,verified,coach-matt-lafleur,Matt LaFleur,1,18,verified,false,https://www.packers.com/news/matt-lafleur-on-verge-of-historical-achievement-of-his-own,https://www.nfl.com/videos/matt-lafleur-i-think-every-play-on-our-2021-call-sheet-was-designed-for-davante-,Matt LaFleur on verge of historical achievement of his own,Green Bay Packers,2021-12-24,official_team,late-season caller identification and full-season call-sheet retrospective,Official and league material identify LaFleur's 2021 call sheet and continuing caller responsibility.,true,false,true,false,false,,Direct late-season evidence and the season call-sheet retrospective support continuity.,high,accepted
9,mandatory_top10,9,2021,LA,Sean McVay,provisional,verified,coach-sean-mcvay,Sean McVay,1,18,verified,false,https://www.therams.com/news/mcvay-kevin-oconnell-has-huge-say-huge-influence-on-how-we-want-to-operate,https://www.nfl.com/news/new-rams-oc-mike-lafleur-i-can-t-wait-to-start-building-relationship-with-qb-mat,McVay: Kevin O'Connell has huge say in how we want to operate,Los Angeles Rams,2021-07-23,official_team,preseason continuity and retrospective role distinction,The Rams explicitly said McVay remained caller in 2021; the later NFL account distinguishes coordinator input from McVay's play-calling domain.,true,true,true,false,false,,The sources do not collapse O'Connell's input into caller status.,high,accepted
10,mandatory_top10,10,2022,GB,Matt LaFleur,provisional,verified,coach-matt-lafleur,Matt LaFleur,1,18,verified,false,https://www.packers.com/news/5-things-learned-from-the-nfl-annual-meetings-day-2,https://www.packers.com/news/packers-must-come-up-with-some-better-stuff-to-maximize-scoring-chances,5 things learned from the NFL Annual Meetings Day 2,Green Bay Packers,2022-03-29,official_team,preseason caller statement and late-December caller review,LaFleur is explicitly the offensive caller before the season and discusses his own calls after Week 16.,true,true,true,false,false,,Boundary evidence supports full-season continuity.,high,accepted
11,dynamic_batch_1,11,2022,SEA,Shane Waldron,provisional,verified,coach-shane-waldron,Shane Waldron,1,18,verified,false,https://www.seahawks.com/news/sam-monson-of-pro-football-focus-ranks-the-league-s-best-offensive-play-callers,https://www.seahawks.com/news/challenge-of-calling-plays-balancing-the-offense-other-things-we-learned-from-sh,Sam Monson ranks the league's best offensive play callers,Seattle Seahawks,2022-06-09,official_team,caller continuity into 2022 and role-specific discussion,Official team coverage identifies Waldron as Seattle's caller entering 2022 after documenting the same duty in 2021; no 2022 handoff was found.,true,true,true,false,false,,The late prior-season direct source and current-season official designation establish continuity.,high,accepted
12,dynamic_batch_1,12,2022,SF,Kyle Shanahan,provisional,verified,coach-kyle-shanahan,Kyle Shanahan,1,18,verified,false,https://www.nfl.com/news/2022-nfc-west-training-camp-preview-storylines-for-the-49ers-cardinals-rams-and-,https://www.nfl.com/news/2022-nfl-season-week-15-what-we-learned-from-49ers-win-over-seahawks-on-thursday,2022 NFC West training camp preview,NFL,2022-07-18,nfl_league,preseason caller identity and Week 15 call analysis,NFL reporting identifies Shanahan as caller before and late in the 2022 regular season with no sourced handoff.,true,true,true,false,false,,Boundary evidence supports full-season continuity.,high,accepted
13,dynamic_batch_1,13,2021,CIN,Zac Taylor,provisional,verified,coach-zac-taylor,Zac Taylor,1,18,verified,false,https://www.bengals.com/news/bengals-notebook-taylor-s-moves-on-fourth-and-one-and-playing-chris-evans-pay-of,https://www.bengals.com/news/playoff-notebook-zac-and-trent-taylor-expand-bengals-playbook-apple-in-the-eye-m,Bengals notebook: Taylor's moves on fourth-and-one,Cincinnati Bengals,2021-10-11,official_team,midseason calls and postseason season retrospective,Official accounts attribute 2021 calls to Taylor and review the completed regular-season playbook without a handoff.,true,false,true,false,false,,Contemporary and postseason official evidence support continuity.,high,accepted
14,dynamic_batch_1,14,2021,CLE,Kevin Stefanski,provisional,verified,coach-kevin-stefanski,Kevin Stefanski,1,14,verified,false,https://www.nfl.com/news/2021-nfl-season-week-7-what-we-learned-from-browns-win-over-broncos-on-thursday-,https://www.clevelandbrowns.com/news/kevin-stefanski-tests-positive-for-covid-19-will-continue-to-coach-virtually,2021 NFL season Week 7: What we learned,NFL,2021-10-22,nfl_league,midseason caller identification and Week 15 exception,Stefanski called the offense through Week 14 before a documented COVID absence.,true,false,true,true,false,,Week 15 is separately assigned.,high,accepted
14,dynamic_batch_1,14,2021,CLE,Kevin Stefanski,provisional,verified,coach-alex-van-pelt,Alex Van Pelt,15,15,verified,false,https://www.clevelandbrowns.com/news/kevin-stefanski-tests-positive-for-covid-19-will-continue-to-coach-virtually,https://www.nfl.com/news/2021-nfl-season-week-17-what-we-learned-from-steelers-win-over-browns-on-monday-,Kevin Stefanski tests positive for COVID-19,Cleveland Browns,2021-12-15,official_team,temporary Week 15 caller assignment,The Browns explicitly assigned Van Pelt the offensive calls for Stefanski's Week 15 absence.,true,false,false,true,false,,This is a one-game temporary assignment.,high,accepted
14,dynamic_batch_1,14,2021,CLE,Kevin Stefanski,provisional,verified,coach-kevin-stefanski,Kevin Stefanski,16,18,verified,false,https://www.nfl.com/news/2021-nfl-season-week-17-what-we-learned-from-steelers-win-over-browns-on-monday-,https://www.clevelandbrowns.com/news/kevin-stefanski-tests-positive-for-covid-19-will-continue-to-coach-virtually,2021 NFL season Week 17: What we learned,NFL,2022-01-04,nfl_league,post-absence caller evidence,League analysis again attributes the calls to Stefanski after the Week 15 exception.,true,false,true,true,false,,The return evidence bounds Weeks 16-18.,high,accepted
15,dynamic_batch_1,15,2021,IND,Frank Reich,provisional,provisional,coach-frank-reich,Frank Reich,1,18,provisional,false,https://www.colts.com/news/carson-wentz-miami-dolphins-mo-alie-cox-michael-pittman-injury-frank-reich,https://www.colts.com/news/carson-wentz-playoff-mode-frank-reich-arizona-cardinals-week-16,Carson Wentz shows Frank Reich what he's capable of,Indianapolis Colts,2021-10-03,official_team,individual call descriptions but no complete duty statement,The articles describe Reich making particular calls but do not independently establish sole uninterrupted weekly responsibility.,true,false,false,false,false,,Specific game calls are insufficient for a full-season promotion.,possible,rejected_full_verification
16,dynamic_batch_1,16,2021,NE,Josh McDaniels,provisional,verified,coach-josh-mcdaniels,Josh McDaniels,1,18,verified,false,https://www.nfl.com/news/joe-judge-matt-patricia-taking-on-new-duties-as-patriots-remain-without-official,https://www.patriots.com/news/patriots-unfiltered-q-a-post-minicamp-thoughts,Joe Judge and Matt Patricia taking on new duties,NFL,2022-05-23,nfl_league,retrospective boundary of McDaniels era,NFL and team material state that 2022 was the first season since 2011 without McDaniels running and calling New England's offense.,true,false,true,false,false,,The retrospective multi-season boundary directly includes 2021.,high,accepted
17,dynamic_batch_1,17,2021,NO,Sean Payton,provisional,verified,coach-sean-payton,Sean Payton,1,14,verified,false,https://www.nfl.com/_amp/saints-hc-sean-payton-tests-positive-for-covid-19-will-not-coach-vs-bucs,https://www.nfl.com/_amp/saints-coach-sean-payton-clears-covid-19-protocols-returns-to-team-ahead-of-dolp,Saints HC Sean Payton tests positive for COVID-19,NFL,2021-12-17,nfl_league,normal caller and Week 15 exception,The NFL report identifies Payton as normal caller and assigns the duty elsewhere for Week 15.,true,false,true,true,false,,The temporary absence bounds the opening interval.,high,accepted
17,dynamic_batch_1,17,2021,NO,Sean Payton,provisional,verified,coach-pete-carmichael-jr,Pete Carmichael Jr,15,15,verified,false,https://www.nfl.com/_amp/saints-hc-sean-payton-tests-positive-for-covid-19-will-not-coach-vs-bucs,https://www.neworleanssaints.com/news/new-orleans-saints-coach-sean-payton-tests-positive-for-covid-19,Saints HC Sean Payton tests positive for COVID-19,NFL,2021-12-17,nfl_league,temporary Week 15 assignment,Carmichael was explicitly designated to call the offensive plays during Payton's one-game absence.,true,false,false,true,false,,This is a bounded single-game interval.,high,accepted
17,dynamic_batch_1,17,2021,NO,Sean Payton,provisional,verified,coach-sean-payton,Sean Payton,16,18,verified,false,https://www.nfl.com/_amp/saints-coach-sean-payton-clears-covid-19-protocols-returns-to-team-ahead-of-dolp,https://www.neworleanssaints.com/news/new-orleans-saints-coach-sean-payton-tests-positive-for-covid-19,Saints coach Sean Payton clears COVID-19 protocols,NFL,2021-12-24,nfl_league,return before Week 16,Payton returned before Week 16 and resumed the caller role through the regular-season close.,true,false,true,true,false,,Return evidence closes the temporary exception.,high,accepted
18,dynamic_batch_1,18,2020,CHI,Matt Nagy,provisional,verified,coach-matt-nagy,Matt Nagy,1,9,verified,false,https://www.chicagobears.com/news/nagy-turns-over-play-calling-duties-to-lazor,https://chicago.suntimes.com/bears/2021/10/3/22707952/bears-victory-soothes-matt-nagy-wounded-pride,Nagy turns over play-calling duties to Lazor,Chicago Bears,2020-11-13,official_team,dated Week 10 handoff,Nagy's handoff to Lazor before Week 10 bounds his Weeks 1-9 interval.,true,false,true,true,false,,Official dated transition evidence.,high,accepted
18,dynamic_batch_1,18,2020,CHI,Matt Nagy,provisional,verified,coach-bill-lazor,Bill Lazor,10,17,verified,false,https://www.chicagobears.com/news/nagy-turns-over-play-calling-duties-to-lazor,https://chicago.suntimes.com/bears/2021/10/3/22707952/bears-victory-soothes-matt-nagy-wounded-pride,Nagy turns over play-calling duties to Lazor,Chicago Bears,2020-11-13,official_team,dated Week 10 handoff and retrospective continuity,Lazor took over in Week 10 and later accounts identify him as caller through the rest of 2020.,true,false,true,true,false,,Full remainder is supported retrospectively.,high,accepted
19,dynamic_batch_1,19,2020,CIN,Zac Taylor,provisional,verified,coach-zac-taylor,Zac Taylor,1,17,verified,false,https://www.bengals.com/news/taylor-made-takes-a-lot-of-things-on-the-table-this-week-to-play-for-vs-ravens,https://www.bengals.com/news/bengals-notebook-taylor-s-moves-on-fourth-and-one-and-playing-chris-evans-pay-of,Taylor-made takes: A lot of things on the table this week,Cincinnati Bengals,2021-01-01,official_team,regular-season finale caller discussion and later continuity,Official late-season material attributes Cincinnati's calls to Taylor and the later season continues the same role.,true,false,true,false,false,,Final-week direct evidence plus continuity supports the season.,high,accepted
20,dynamic_batch_1,20,2020,SF,Kyle Shanahan,provisional,verified,coach-kyle-shanahan,Kyle Shanahan,1,17,verified,false,https://www.49ers.com/news/peter-schrager-kyle-shanahan-is-a-top-5-play-caller-in-the-nfl,https://www.49ers.com/news/49ers-john-lynch-kyle-shanahan-2020-nfl-draft-first-round,Peter Schrager: Kyle Shanahan is a top-five play caller,San Francisco 49ers,2020-11-20,official_team,mid-to-late season caller identity,Official team coverage identifies Shanahan as the 2020 caller and no handoff is reported.,true,true,true,false,false,,Contemporary direct evidence supports continuity.,high,accepted
21,dynamic_batch_1,21,2022,BAL,Greg Roman,provisional,verified,coach-greg-roman,Greg Roman,1,18,verified,false,https://www.baltimoreravens.com/news/john-harbaugh-is-moving-forward-with-greg-roman,https://www.baltimoreravens.com/news/offensive-play-call-need-to-be-faster-jaguars-loss-week-12,John Harbaugh is moving forward with Greg Roman,Baltimore Ravens,2022-12-05,official_team,late-season caller confirmation and postseason tenure boundary,Official late and post-season reporting identifies Roman as caller for the complete 2022 regular season before his departure.,true,false,true,false,false,,The departure occurred after the regular season.,high,accepted
22,dynamic_batch_1,22,2022,CIN,Zac Taylor,provisional,verified,coach-zac-taylor,Zac Taylor,1,18,verified,false,https://www.bengals.com/news/zac-taylor-post-game-quotes-bengals-falcons-week-7-2022,https://www.bengals.com/news/zac-taylor-q-and-a-with-geoff-hobson-heading-into-monday-night-matchup-vs-b,Zac Taylor postgame quotes: Bengals-Falcons Week 7,Cincinnati Bengals,2022-10-23,official_team,midseason and late-season call discussions,Taylor directly discusses his calls in official team material throughout the 2022 season with no sourced handoff.,true,false,true,false,false,,Multiple season points support continuity.,high,accepted
23,dynamic_batch_1,23,2021,DEN,Pat Shurmur,provisional,provisional,coach-pat-shurmur,Pat Shurmur,1,18,provisional,false,https://media.denverbroncos.com/wp-content/uploads/2021/09/Bolles-Garett.pdf,,Garett Bolles media availability,Denver Broncos,2021-09-09,official_team,early-season caller reference,The official transcript identifies Shurmur with the calls but does not establish full-season continuity.,true,false,false,false,false,,A single early-season reference cannot verify all 18 weeks.,possible,rejected_full_verification
24,dynamic_batch_1,24,2021,SF,Kyle Shanahan,provisional,verified,coach-kyle-shanahan,Kyle Shanahan,1,18,verified,false,https://www.49ers.com/news/49ers-bears-postgame-quotes-week-8-shanahan-garoppolo-warner-samuel-fields,https://www.49ers.com/news/won-monthly-magazine-august-2021,49ers-Bears postgame quotes Week 8,San Francisco 49ers,2021-10-31,official_team,preseason role and in-season direct call review,Official evidence identifies Shanahan as caller before and during 2021 with no handoff.,true,true,true,false,false,,Two independent season points support continuity.,high,accepted
25,dynamic_batch_1,25,2020,NO,Sean Payton,provisional,verified,coach-sean-payton,Sean Payton,1,17,verified,false,https://www.neworleanssaints.com/news/transcript-new-orleans-saints-coach-sean-payton-postgame-quotes-saints-eagles-20,https://www.neworleanssaints.com/news/transcript-sean-payton-conference-call-1-15-21-nfc-divisional-round-2020,Sean Payton postgame transcript: Saints-Eagles,New Orleans Saints,2020-12-13,official_team,December calls and postseason season review,Payton directly discusses his calls late in the regular season and in the postseason review with no handoff.,true,false,true,false,false,,Late-season and post-season evidence supports continuity.,high,accepted
26,dynamic_batch_1,26,2022,BUF,Ken Dorsey,provisional,verified,coach-ken-dorsey,Ken Dorsey,1,18,verified,false,https://www.buffalobills.com/news/josh-allen-and-the-bills-offense-will-have-a-new-play-caller-in-2022,https://www.buffalobills.com/news/a-heck-of-a-superman-heroic-performance-dawson-knox-plays-important-role-in-bill,Josh Allen and Bills offense will have a new play caller in 2022,Buffalo Bills,2022-09-04,official_team,opening assignment and December direct call review,Dorsey was announced as the new 2022 caller and remained the documented caller in December.,true,true,true,false,false,,Boundary evidence supports full-season continuity.,high,accepted
27,dynamic_batch_1,27,2021,JAX,Darrell Bevell,provisional,verified,coach-darrell-bevell,Darrell Bevell,1,15,verified,false,https://www.jaguars.com/news/bevell-on-monday-schottenheimer-to-call-plays,,Bevell on Monday: Schottenheimer to call plays,Jacksonville Jaguars,2021-12-20,official_team,retrospective first 13 games and dated handoff,Jacksonville states Bevell called the first 13 games; the Week 7 bye maps that responsibility through Week 14 and he remained caller in Week 15 before the handoff.,true,false,true,true,false,,Schedule-aware mapping preserves the bye and dated transition.,high,accepted
27,dynamic_batch_1,27,2021,JAX,Darrell Bevell,provisional,verified,coach-brian-schottenheimer,Brian Schottenheimer,16,18,verified,false,https://www.jaguars.com/news/bevell-on-monday-schottenheimer-to-call-plays,,Bevell on Monday: Schottenheimer to call plays,Jacksonville Jaguars,2021-12-20,official_team,Week 16 handoff for remaining games,Jacksonville explicitly assigned Schottenheimer the calls beginning Week 16 for the final three games.,true,false,true,true,false,,The official handoff defines the remainder interval.,high,accepted
28,dynamic_batch_1,28,2020,DEN,Pat Shurmur,provisional,verified,coach-pat-shurmur,Pat Shurmur,1,17,verified,false,https://media.denverbroncos.com/wp-content/uploads/2020/01/200116_Broncos.pdf,https://media.denverbroncos.com/wp-content/uploads/2021/09/Bolles-Garett.pdf,Broncos announce Pat Shurmur as offensive coordinator,Denver Broncos,2020-01-16,official_team,explicit new caller assignment and later continuity reference,The official announcement assigns Shurmur play-calling and 2021 material confirms the continuing role after the full 2020 season.,true,true,true,false,false,,The later continuity boundary supports the 2020 season.,high,accepted
29,dynamic_batch_1,29,2020,TEN,Arthur Smith,provisional,verified,coach-arthur-smith,Arthur Smith,1,17,verified,false,https://www.atlantafalcons.com/news/arthur-smith-tennessee-titans-mike-vrabel-mularkey-nfl-week-8,https://www.audacy.com/v103/news/falcons-new-hc-arthur-smith-will-be-offensive-play-caller,Arthur Smith's path from Tennessee to Atlanta,Atlanta Falcons,2021-10-29,official_team,retrospective Tennessee play-calling tenure,Official retrospective describes Smith's two-season Tennessee calling tenure and his move only after the 2020 season.,true,false,true,false,false,,Retrospective tenure evidence includes all of 2020.,high,accepted
30,dynamic_batch_1,30,2022,NO,Pete Carmichael Jr,provisional,provisional,coach-pete-carmichael-jr,Pete Carmichael Jr,1,18,provisional,false,https://www.nfl.com/news/10-new-nfl-head-coaches-who-s-in-the-best-situation-for-2022-the-worst-let-s-ran,https://www.neworleanssaints.com/news/saints-morning-break-for-wednesday-sept-7,Ranking the 10 new NFL head coaches by situation,NFL,2022-05-18,nfl_league,preseason primary-caller designation,The sources support Carmichael taking over as primary caller but do not independently verify every weekly boundary.,true,true,false,false,false,,No title inference; the full season remains provisional.,possible,rejected_full_verification
31,dynamic_batch_2,31,2021,HOU,Tim Kelly,provisional,verified,coach-tim-kelly,Tim Kelly,1,18,verified,false,https://www.houstontexans.com/news/transcripts-9-15-2021-press-conferences,https://www.houstontexans.com/news/transcripts-12-20-2021-press-conferences,Transcripts: September 15 press conferences,Houston Texans,2021-09-15,official_team,opening-week and late-December direct caller statements,Kelly is explicitly identified as Houston's caller near both regular-season boundaries with no sourced handoff.,true,true,true,false,false,,Two official boundary sources support continuity.,high,accepted
32,dynamic_batch_2,32,2020,IND,Frank Reich,provisional,provisional,coach-frank-reich,Frank Reich,1,17,provisional,false,https://www.colts.com/news/frank-reich-takeaways-2020-nfl-scouting-combine-draft,https://www.colts.com/news/frank-reich-philip-rivers-michael-pittman-tennesee-titans-recap-week-10,Frank Reich takeaways from 2020 NFL Scouting Combine,Indianapolis Colts,2020-02-25,official_team,preseason identity and Week 10 call review,Reich identifies as an offensive caller and discusses Week 10 calls; the evidence set does not establish uninterrupted sole responsibility for all weeks.,true,true,false,false,false,,Specific points are insufficient for full-season verification.,possible,rejected_full_verification
33,dynamic_batch_2,33,2020,SEA,Brian Schottenheimer,provisional,verified,coach-brian-schottenheimer,Brian Schottenheimer,1,17,verified,false,https://www.seahawks.com/news/getting-russell-wilson-going-early-other-takeaways-from-offensive-coordinator-br,https://www.seahawks.com/news/challenge-of-calling-plays-balancing-the-offense-other-things-we-learned-from-sh,Getting Russell Wilson going early and other takeaways from Brian Schottenheimer,Seattle Seahawks,2020-08-25,official_team,third-season caller designation and later role retrospective,Seattle identifies 2020 as Schottenheimer's third season calling plays and later contrasts the next caller after his departure.,true,true,true,false,false,,The tenure boundary supports the full season.,high,accepted
34,dynamic_batch_2,34,2022,ATL,Arthur Smith,provisional,verified,coach-arthur-smith,Arthur Smith,1,18,verified,false,https://www.atlantafalcons.com/news/arthur-smith-to-call-plays-on-offense-plans-to-build-a-culture-of-accountability,https://www.atlantafalcons.com/news/arthur-smith-marcus-mariota-second-goal-commanders,Arthur Smith to call plays on offense,Atlanta Falcons,2021-01-19,official_team,initial assignment and late-2022 direct call review,Smith retained the caller role established on arrival and directly reviewed his calls late in 2022.,true,true,true,false,false,,Multi-season official continuity plus late-season evidence supports 2022.,high,accepted
35,dynamic_batch_2,35,2022,MIA,Mike McDaniel,provisional,verified,coach-mike-mcdaniel,Mike McDaniel,1,18,verified,false,https://www.miamidolphins.com/news/transcript-head-coach-mike-mcdaniel-introductory-press-conference,https://www.miamidolphins.com/news/transcript-mike-mcdaniel-s-media-availability-december-21,Transcript: Mike McDaniel introductory press conference,Miami Dolphins,2022-02-10,official_team,preseason caller plan and December direct review,McDaniel announced that he would call plays and remained the documented caller in late December.,true,true,true,false,false,,Opening and late-season evidence support continuity.,high,accepted
36,dynamic_batch_2,36,2021,ATL,Arthur Smith,provisional,verified,coach-arthur-smith,Arthur Smith,1,18,verified,false,https://www.atlantafalcons.com/news/arthur-smith-to-call-plays-on-offense-plans-to-build-a-culture-of-accountability,https://www.atlantafalcons.com/news/analyzing-matt-ryan-s-first-year-under-arthur-smith-state-of-falcons-quarterback,Arthur Smith to call plays on offense,Atlanta Falcons,2021-01-19,official_team,initial assignment and completed-season retrospective,Atlanta assigned Smith the calls and later reviewed Matt Ryan's first full year under Smith as head coach and offensive caller.,true,true,true,false,false,,The retrospective closes the season boundary.,high,accepted
37,dynamic_batch_2,37,2020,JAX,Jay Gruden,provisional,verified,coach-jay-gruden,Jay Gruden,1,17,verified,false,https://www.jaguars.com/news/jaguars-offensive-coordinator-jay-gruden-wednesday-october-14-2020,https://www.jaguars.com/news/jaguars-offensive-coordinator-jay-gruden-wednesday-december-9-2020,Jaguars offensive coordinator Jay Gruden: October 14,Jacksonville Jaguars,2020-10-14,official_team,October and December self-identification as caller,Gruden discusses his own play-calling at two separated regular-season points with no sourced handoff.,true,false,true,false,false,,Contemporary separated checks support continuity.,high,accepted
