assignment_key,source_url,source_title,source_type,source_accessed_at,evidence_locator,evidence_note
2010-CHI-quarterbacks_coach-01-17-shane-day,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 157 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CIN-head_coach-01-17-marvin-lewis,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-CIN-offensive_coordinator-01-17-bob-bratkowski,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 54 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CIN-quarterbacks_coach-01-17-ken-zampese,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 54 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CLE-head_coach-01-17-eric-mangini,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-CLE-offensive_coordinator-01-17-brian-daboll,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 60 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CLE-quarterbacks_coach-01-17-carl-smith,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 60 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-DAL-head_coach-01-09-wade-phillips,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-9",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-DAL-head_coach-10-17-jason-garrett,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 10-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-DAL-quarterbacks_coach-01-17-wade-wilson,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 163 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-DEN-head_coach-01-13-josh-mcdaniels,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-13",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-DEN-head_coach-14-17-eric-studesville,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 14-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-DEN-offensive_coordinator-01-17-mike-mccoy,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 66 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-DEN-quarterbacks_coach-01-17-ben-mcdaniels,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 66 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-DET-head_coach-01-17-jim-schwartz,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-DET-offensive_coordinator-01-17-scott-linehan,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 169 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-GB-head_coach-01-17-mike-mccarthy,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-GB-offensive_coordinator-01-17-joe-philbin,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 175 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-GB-quarterbacks_coach-01-17-tom-clements,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 175 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-HOU-head_coach-01-17-gary-kubiak,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-HOU-offensive_coordinator-01-17-rick-dennison,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 72 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-HOU-quarterbacks_coach-01-17-greg-knapp,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 72 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-IND-head_coach-01-17-jim-caldwell,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-IND-offensive_coordinator-01-17-clyde-christensen,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 78 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-IND-quarterbacks_coach-01-17-frank-reich,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 78 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-JAX-head_coach-01-17-jack-del-rio,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-JAX-offensive_coordinator-01-17-dirk-koetter,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 84 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-JAX-quarterbacks_coach-01-17-mike-shula,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 84 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-KC-head_coach-01-17-todd-haley,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-KC-offensive_coordinator-01-17-charlie-weis,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 90 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-LA-head_coach-01-17-steve-spagnuolo,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-LA-offensive_coordinator-01-17-pat-shurmur,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 205 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-LAC-head_coach-01-17-norv-turner,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-LAC-quarterbacks_coach-01-17-john-ramsdell,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 126 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-LV-head_coach-01-17-tom-cable,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-LV-offensive_coordinator-01-17-hue-jackson,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 114 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-LV-quarterbacks_coach-01-17-paul-hackett,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 114 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-MIA-head_coach-01-17-tony-sparano,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-MIA-offensive_coordinator-01-17-dan-henning,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 96 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-MIA-quarterbacks_coach-01-17-david-lee,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 96 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-MIN-head_coach-01-11-brad-childress,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-11",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-MIN-head_coach-12-17-leslie-frazier,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 12-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-MIN-offensive_coordinator-01-17-darrell-bevell,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 181 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-MIN-quarterbacks_coach-01-17-kevin-rogers,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 181 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-NE-head_coach-01-17-bill-belichick,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-NO-head_coach-01-17-sean-payton,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-NO-quarterbacks_coach-01-17-joe-lombardi,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 187 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-NYG-head_coach-01-17-tom-coughlin,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-NYG-offensive_coordinator-01-17-kevin-gilbride,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 193 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-NYG-quarterbacks_coach-01-17-mike-sullivan,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 193 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-NYJ-head_coach-01-17-rex-ryan,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-NYJ-quarterbacks_coach-01-17-matt-cavanaugh,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 108 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-PHI-head_coach-01-17-andy-reid,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-PHI-quarterbacks_coach-01-17-james-urban,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 199 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-PIT-head_coach-01-17-mike-tomlin,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-PIT-offensive_coordinator-01-17-bruce-arians,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 120 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-PIT-quarterbacks_coach-01-17-randy-fichtner,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 120 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-SEA-head_coach-01-17-pete-carroll,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-SEA-offensive_coordinator-01-17-jeremy-bates,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 217 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-SEA-quarterbacks_coach-01-17-jedd-fisch,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 217 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-SF-head_coach-01-16-mike-singletary,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-16",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-SF-head_coach-17-17-jim-tomsula,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 17-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-SF-offensive_coordinator-01-17-jimmy-raye,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 211 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-SF-quarterbacks_coach-01-17-mike-johnson,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 211 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-TB-head_coach-01-17-raheem-morris,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-TB-offensive_coordinator-01-17-greg-olson,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 223 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
