evidence_id,source_url,source_title,assignment_keys,required_terms
2020-CIN-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-CIN-play_caller-01-17-zac-taylor,2020 NFL Play-Callers|Cincinnati Bengals|Zac Taylor|Play-Caller
2020-CLE-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-CLE-play_caller-01-17-kevin-stefanski,2020 NFL Play-Callers|Cleveland Browns|Kevin Stefanski|Play-Caller
2020-DAL-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-DAL-play_caller-01-17-kellen-moore,2020 NFL Play-Callers|Dallas Cowboys|Kellen Moore|Play-Caller
2020-DEN-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-DEN-play_caller-01-17-pat-shurmur,2020 NFL Play-Callers|Denver Broncos|Pat Shurmur|Play-Caller
2020-DET-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-DET-play_caller-01-17-darrell-bevell,2020 NFL Play-Callers|Detroit Lions|Darrell Bevell|Play-Caller
2020-GB-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-GB-play_caller-01-17-matt-lafleur,2020 NFL Play-Callers|Green Bay Packers|Matt LaFleur|Play-Caller
2020-IND-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-IND-play_caller-01-17-frank-reich,2020 NFL Play-Callers|Indianapolis Colts|Frank Reich|Play-Caller
2020-JAX-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-JAX-play_caller-01-17-jay-gruden,2020 NFL Play-Callers|Jacksonville Jaguars|Jay Gruden|Play-Caller
2020-KC-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-KC-play_caller-01-17-andy-reid,2020 NFL Play-Callers|Kansas City Chiefs|Andy Reid|Play-Caller
2020-LA-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-LA-play_caller-01-17-sean-mcvay,2020 NFL Play-Callers|Los Angeles Rams|Sean McVay|Play-Caller
2020-LAC-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-LAC-play_caller-01-17-shane-steichen,2020 NFL Play-Callers|Los Angeles Chargers|Shane Steichen|Play-Caller
2020-LV-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-LV-play_caller-01-17-jon-gruden,2020 NFL Play-Callers|Las Vegas Raiders|Jon Gruden|Play-Caller
2020-MIA-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-MIA-play_caller-01-17-chan-gailey,2020 NFL Play-Callers|Miami Dolphins|Chan Gailey|Play-Caller
2020-MIN-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-MIN-play_caller-01-17-gary-kubiak,2020 NFL Play-Callers|Minnesota Vikings|Gary Kubiak|Play-Caller
2020-NE-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-NE-play_caller-01-17-josh-mcdaniels,2020 NFL Play-Callers|New England Patriots|Josh McDaniels|Play-Caller
2020-NO-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-NO-play_caller-01-17-sean-payton,2020 NFL Play-Callers|New Orleans Saints|Sean Payton|Play-Caller
2020-NYG-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-NYG-play_caller-01-17-jason-garrett,2020 NFL Play-Callers|New York Giants|Jason Garrett|Play-Caller
2020-NYJ-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-NYJ-play_caller-01-17-adam-gase,2020 NFL Play-Callers|New York Jets|Adam Gase|Play-Caller
2020-PHI-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-PHI-play_caller-01-17-doug-pederson,2020 NFL Play-Callers|Philadelphia Eagles|Doug Pederson|Play-Caller
2020-PIT-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-PIT-play_caller-01-17-randy-fichtner,2020 NFL Play-Callers|Pittsburgh Steelers|Randy Fichtner|Play-Caller
2020-SEA-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-SEA-play_caller-01-17-brian-schottenheimer,2020 NFL Play-Callers|Seattle Seahawks|Brian Schottenheimer|Play-Caller
2020-SF-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-SF-play_caller-01-17-kyle-shanahan,2020 NFL Play-Callers|San Francisco 49ers|Kyle Shanahan|Play-Caller
2020-TB-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-TB-play_caller-01-17-byron-leftwich,2020 NFL Play-Callers|Tampa Bay Buccaneers|Byron Leftwich|Play-Caller
2020-TEN-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-TEN-play_caller-01-17-arthur-smith,2020 NFL Play-Callers|Tennessee Titans|Arthur Smith|Play-Caller
2020-WAS-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-WAS-play_caller-01-17-scott-turner,2020 NFL Play-Callers|Washington Football Team|Scott Turner|Play-Caller
2023-antonio-pierce-interim,https://www.raiders.com/news/raiders-name-antonio-pierce-as-interim-head-coach,Raiders name Antonio Pierce as Interim Head Coach,2023-LV-head_coach-09-18-antonio-pierce,Interim Head Coach|comprehensive search|once the season is complete
anthony-lynn-2016-playcaller,https://www.nfl.com/news/buffalo-bills-fire-offensive-coordinator-greg-roman-0ap3000000703603,Bills name Anthony Lynn full-time play caller,2016-BUF-play_caller-03-17-anthony-lynn,Anthony Lynn|full-time play caller
c11b-caller-2023-ARI-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-ARI-play_caller-01-18-drew-petzing,Here is who will be calling plays for all 32 teams|Arizona Cardinals|Drew Petzing
c11b-caller-2023-ATL-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-ATL-play_caller-01-18-arthur-smith,Here is who will be calling plays for all 32 teams|Atlanta Falcons|Arthur Smith
c11b-caller-2023-BAL-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-BAL-play_caller-01-18-todd-monken,Here is who will be calling plays for all 32 teams|Baltimore Ravens|Todd Monken
c11b-caller-2023-BUF-01,https://www.buffalobills.com/news/interim-oc-joe-brady-concentrated-on-winning-bringing-energy-bills-josh-allen,Bills: Joe Brady takes over play-calling,2023-BUF-play_caller-01-10-ken-dorsey,took over the Bills' play-calling duties this week|interim offensive coordinator
c11b-caller-2023-BUF-11,https://www.buffalobills.com/news/interim-oc-joe-brady-concentrated-on-winning-bringing-energy-bills-josh-allen,Bills: Joe Brady takes over play-calling,2023-BUF-play_caller-01-10-ken-dorsey|2023-BUF-play_caller-11-18-joe-brady,took over the Bills' play-calling duties this week|interim offensive coordinator
c11b-caller-2023-BUF-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-BUF-play_caller-01-10-ken-dorsey,Here is who will be calling plays for all 32 teams|Buffalo Bills|Ken Dorsey
c11b-caller-2023-CAR-07,https://www.nfl.com/news/panthers-head-coach-frank-reich-hands-over-play-calling-duties-to-offensive-coor,Panthers hand play-calling to Thomas Brown,2023-CAR-play_caller-01-06-frank-reich|2023-CAR-play_caller-07-10-thomas-brown,hand over play-calling duties to offensive coordinator Thomas Brown|Week 8 against the Texans
c11b-caller-2023-CAR-11,https://www.panthers.com/news/notebook-frank-reich-to-resume-play-calling-on-offense,Frank Reich resumes play-calling,2023-CAR-play_caller-07-10-thomas-brown|2023-CAR-play_caller-11-12-frank-reich,taking over play-calling duties again starting this week|last three games
c11b-caller-2023-CAR-13,https://www.nfl.com/news-migrated-v2/panthers-firing-frank-reich-after-1-10-start-to-first-season-in-carolina,Thomas Brown resumes play-calling,2023-CAR-play_caller-11-12-frank-reich|2023-CAR-play_caller-13-18-thomas-brown,"Thomas Brown, who will resume play-calling|after a 1-10 start"
c11b-caller-2023-CAR-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-CAR-play_caller-01-06-frank-reich,Here is who will be calling plays for all 32 teams|Carolina Panthers|Frank Reich
c11b-caller-2023-CHI-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-CHI-play_caller-01-18-luke-getsy,Here is who will be calling plays for all 32 teams|Chicago Bears|Luke Getsy
c11b-caller-2023-CIN-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-CIN-play_caller-01-18-zac-taylor,Here is who will be calling plays for all 32 teams|Cincinnati Bengals|Zac Taylor
c11b-caller-2023-CLE-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-CLE-play_caller-01-18-kevin-stefanski,Here is who will be calling plays for all 32 teams|Cleveland Browns|Kevin Stefanski
c11b-caller-2023-DAL-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-DAL-play_caller-01-18-mike-mccarthy,Here is who will be calling plays for all 32 teams|Dallas Cowboys|Mike McCarthy
c11b-caller-2023-DEN-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-DEN-play_caller-01-18-sean-payton,Here is who will be calling plays for all 32 teams|Denver Broncos|Sean Payton
c11b-caller-2023-DET-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-DET-play_caller-01-18-ben-johnson,Here is who will be calling plays for all 32 teams|Detroit Lions|Ben Johnson
c11b-caller-2023-GB-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-GB-play_caller-01-18-matt-lafleur,Here is who will be calling plays for all 32 teams|Green Bay Packers|Matt LaFleur
c11b-caller-2023-HOU-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-HOU-play_caller-01-18-bobby-slowik,Here is who will be calling plays for all 32 teams|Houston Texans|Bobby Slowik
c11b-caller-2023-IND-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-IND-play_caller-01-18-shane-steichen,Here is who will be calling plays for all 32 teams|Indianapolis Colts|Shane Steichen
c11b-caller-2023-JAX-opening,https://www.jaguars.com/news/jaguars-oc-taylor-shares-high-expectations-for-offense,Jaguars OC Press Taylor shares high expectations for offense,2023-JAX-play_caller-01-18-press-taylor,"Taylor, calling plays full-time in 2023|splitting the duties with Head Coach Doug Pederson last season"
c11b-caller-2023-KC-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-KC-play_caller-01-18-andy-reid,Here is who will be calling plays for all 32 teams|Kansas City Chiefs|Andy Reid
c11b-caller-2023-LA-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-LA-play_caller-01-18-sean-mcvay,Here is who will be calling plays for all 32 teams|Los Angeles Rams|Sean McVay
c11b-caller-2023-LAC-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-LAC-play_caller-01-18-kellen-moore,Here is who will be calling plays for all 32 teams|Los Angeles Chargers|Kellen Moore
c11b-caller-2023-LV-01,https://www.raiders.com/news/pick-six-nfl-week-9-will-be-a-battle-of-attrition-for-raiders-giants-110523,Raiders Week 9: Bo Hardegree will call plays,2023-LV-play_caller-01-08-josh-mcdaniels,Bo Hardegree will be calling plays for the offense|Week 9
c11b-caller-2023-LV-09,https://www.raiders.com/news/pick-six-nfl-week-9-will-be-a-battle-of-attrition-for-raiders-giants-110523,Raiders Week 9: Bo Hardegree will call plays,2023-LV-play_caller-01-08-josh-mcdaniels|2023-LV-play_caller-09-18-bo-hardegree,Bo Hardegree will be calling plays for the offense|Week 9
c11b-caller-2023-LV-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-LV-play_caller-01-08-josh-mcdaniels,Here is who will be calling plays for all 32 teams|Las Vegas Raiders|Josh McDaniels
c11b-caller-2023-MIA-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-MIA-play_caller-01-18-mike-mcdaniel,Here is who will be calling plays for all 32 teams|Miami Dolphins|Mike McDaniel
c11b-caller-2023-MIN-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-MIN-play_caller-01-18-kevin-o-connell,Here is who will be calling plays for all 32 teams|Minnesota Vikings|Kevin O'Connell
c11b-caller-2023-NE-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-NE-play_caller-01-18-bill-o-brien,Here is who will be calling plays for all 32 teams|New England Patriots|Bill O'Brien
c11b-caller-2023-NO-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-NO-play_caller-01-18-pete-carmichael-jr,Here is who will be calling plays for all 32 teams|New Orleans Saints|Pete Carmichael
c11b-caller-2023-NYG-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-NYG-play_caller-01-18-mike-kafka,Here is who will be calling plays for all 32 teams|New York Giants|Mike Kafka
c11b-caller-2023-NYJ-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-NYJ-play_caller-01-18-nathaniel-hackett,Here is who will be calling plays for all 32 teams|New York Jets|Nathaniel Hackett
c11b-caller-2023-PHI-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-PHI-play_caller-01-18-brian-johnson,Here is who will be calling plays for all 32 teams|Philadelphia Eagles|Brian Johnson
c11b-caller-2023-PIT-01,https://www.steelers.com/news/steelers-mike-tomlin-moving-forward-eddie-faulkner-mike-sullivan-challenges,Steelers assign play-calling to Mike Sullivan,2023-PIT-play_caller-01-11-matt-canada,Mike Sullivan will handle play-calling duties|starting with the team's game next Sunday against the Bengals
c11b-caller-2023-PIT-12,https://www.steelers.com/news/steelers-mike-tomlin-moving-forward-eddie-faulkner-mike-sullivan-challenges,Steelers assign play-calling to Mike Sullivan,2023-PIT-play_caller-01-11-matt-canada|2023-PIT-play_caller-12-18-mike-sullivan,Mike Sullivan will handle play-calling duties|starting with the team's game next Sunday against the Bengals
c11b-caller-2023-PIT-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-PIT-play_caller-01-11-matt-canada,Here is who will be calling plays for all 32 teams|Pittsburgh Steelers|Matt Canada
c11b-caller-2023-SEA-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-SEA-play_caller-01-18-shane-waldron,Here is who will be calling plays for all 32 teams|Seattle Seahawks|Shane Waldron
c11b-caller-2023-SF-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-SF-play_caller-01-18-kyle-shanahan,Here is who will be calling plays for all 32 teams|San Francisco 49ers|Kyle Shanahan
c11b-caller-2023-TB-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-TB-play_caller-01-18-dave-canales,Here is who will be calling plays for all 32 teams|Tampa Bay Buccaneers|Dave Canales
c11b-caller-2023-TEN-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-TEN-play_caller-01-18-tim-kelly,Here is who will be calling plays for all 32 teams|Tennessee Titans|Tim Kelly
c11b-caller-2023-WAS-opening,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,Key intel on all 32 NFL playcallers,2023-WAS-play_caller-01-18-eric-bieniemy,Here is who will be calling plays for all 32 teams|Washington Commanders|Eric Bieniemy
c11b-caller-2024-ARI-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-ARI-play_caller-01-18-drew-petzing,Here is who will be calling plays for all 32 teams|Arizona Cardinals|Drew Petzing
c11b-caller-2024-ATL-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-ATL-play_caller-01-18-zac-robinson,Here is who will be calling plays for all 32 teams|Atlanta Falcons|Zac Robinson
c11b-caller-2024-BAL-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-BAL-play_caller-01-18-todd-monken,Here is who will be calling plays for all 32 teams|Baltimore Ravens|Todd Monken
c11b-caller-2024-BUF-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-BUF-play_caller-01-18-joe-brady,Here is who will be calling plays for all 32 teams|Buffalo Bills|Joe Brady
c11b-caller-2024-CAR-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-CAR-play_caller-01-18-dave-canales,Here is who will be calling plays for all 32 teams|Carolina Panthers|Dave Canales
c11b-caller-2024-CHI-01,https://www.nfl.com/news/bears-qb-caleb-williams-on-oc-shane-waldron-s-firing-i-don-t-get-to-choose-decisions,Thomas Brown takes over Chicago play-calling,2024-CHI-play_caller-01-10-shane-waldron,Ten weeks into his rookie season|thrust Thomas Brown into the play-calling role
c11b-caller-2024-CHI-11,https://www.nfl.com/news/bears-qb-caleb-williams-on-oc-shane-waldron-s-firing-i-don-t-get-to-choose-decisions,Thomas Brown takes over Chicago play-calling,2024-CHI-play_caller-01-10-shane-waldron|2024-CHI-play_caller-11-18-thomas-brown,Ten weeks into his rookie season|thrust Thomas Brown into the play-calling role
c11b-caller-2024-CHI-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-CHI-play_caller-01-10-shane-waldron,Here is who will be calling plays for all 32 teams|Chicago Bears|Shane Waldron
c11b-caller-2024-CIN-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-CIN-play_caller-01-18-zac-taylor,Here is who will be calling plays for all 32 teams|Cincinnati Bengals|Zac Taylor
c11b-caller-2024-CLE-01,https://www.nfl.com/news/browns-to-start-jameis-winston-at-qb-vs-ravens-oc-ken-dorsey-to-call-plays,Ken Dorsey takes over Cleveland play-calling,2024-CLE-play_caller-01-07-kevin-stefanski,offensive coordinator Ken Dorsey|relinquishing play-calling duties
c11b-caller-2024-CLE-08,https://www.nfl.com/news/browns-to-start-jameis-winston-at-qb-vs-ravens-oc-ken-dorsey-to-call-plays,Ken Dorsey takes over Cleveland play-calling,2024-CLE-play_caller-01-07-kevin-stefanski|2024-CLE-play_caller-08-18-ken-dorsey,offensive coordinator Ken Dorsey|relinquishing play-calling duties
c11b-caller-2024-CLE-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-CLE-play_caller-01-07-kevin-stefanski,Here is who will be calling plays for all 32 teams|Cleveland Browns|Kevin Stefanski
c11b-caller-2024-DAL-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-DAL-play_caller-01-18-mike-mccarthy,Here is who will be calling plays for all 32 teams|Dallas Cowboys|Mike McCarthy
c11b-caller-2024-DEN-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-DEN-play_caller-01-18-sean-payton,Here is who will be calling plays for all 32 teams|Denver Broncos|Sean Payton
c11b-caller-2024-DET-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-DET-play_caller-01-18-ben-johnson,Here is who will be calling plays for all 32 teams|Detroit Lions|Ben Johnson
c11b-caller-2024-GB-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-GB-play_caller-01-18-matt-lafleur,Here is who will be calling plays for all 32 teams|Green Bay Packers|Matt LaFleur
c11b-caller-2024-HOU-opening,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,Who calls plays for every NFL team in 2024?,2024-HOU-play_caller-01-18-bobby-slowik,Here is who will be calling plays for all 32 teams|Houston Texans|Bobby Slowik
