evidence_key,season,team_id,role,start_week,end_week,resolution_status,confidence_level,interval_basis,source_url,source_type,source_accessed_at,evidence_locator,evidence_note,required_terms
2016-KC-quarterbacks_coach-no-role-01-17,2016,KC,quarterbacks_coach,1,17,verified_no_designated_role,high,season_designation,https://www.chiefs.com/news/chiefs-announce-coaching-staff-changes-for-2016-16985051,official_team,2026-09-04,April 1 2016 complete staff announcement,Official complete staff announcement names only an assistant-quarterbacks position and supports no separately designated primary quarterbacks coach.,Corey Matthaei|Assistant Quarterbacks|QBs & OL
2017-CIN-quarterbacks_coach-no-role-03-17,2017,CIN,quarterbacks_coach,3,17,verified_no_designated_role,high,observed_game_weeks,https://static.clubs.nfl.com/image/upload/bengals/g6uep5wasbkyvtwjk8ct.pdf,official_team_media_guide,2026-09-04,2018 media guide retrospective,Official retrospective says the quarterbacks finished 2017 coached directly by offensive coordinator Bill Lazor and supports no separately designated quarterbacks coach after his promotion.,
2017-CLE-offensive_coordinator-no-role-01-17,2017,CLE,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.clevelandbrowns.com/news/hue-jackson-to-take-next-week-to-mull-hiring-offensive-coordinator-othe-20178718,official_team,2026-09-04,January 2018 retrospective,Official discussion of whether to add the position after two seasons supports no separately designated offensive coordinator in 2017.,hiring an offensive coordinator|two seasons
2017-HOU-offensive_coordinator-no-role-01-17,2017,HOU,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.houstontexans.com/news/romeo-crennel-takes-on-bigger-role-18520538,official_team,2026-09-04,February 2017 staff announcement,Official team report explicitly supports no separately designated offensive coordinator after George Godsey's departure.,no new offensive coordinator|George Godsey
2017-KC-quarterbacks_coach-no-role-01-17,2017,KC,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202017%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,Chiefs complete staff listing,Complete official staff listing names only an assistant-quarterbacks position and supports no separately designated primary quarterbacks coach.,
2017-SF-offensive_coordinator-no-role-01-17,2017,SF,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.49ers.com/news/49ers-announce-newest-additions-to-coaching-staff-18571118,official_team,2026-09-04,Complete 2017 coaching staff announcement,Official complete staff announcement supports no separately designated offensive coordinator.,coaching staff|Kyle Shanahan
2018-ARI-quarterbacks_coach-no-role-08-17,2018,ARI,quarterbacks_coach,8,17,verified_no_designated_role,medium,observed_game_weeks,https://static.clubs.nfl.com/image/upload/cardinals/inoevzu0bded6j7emj5m.pdf,official_gamebook,2026-09-04,Week 8 post-promotion gamebook staff listing,Post-promotion official gamebook staff listing supports no separately designated quarterbacks coach after Byron Leftwich became offensive coordinator.,
2018-HOU-offensive_coordinator-no-role-01-17,2018,HOU,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.houstontexans.com/news/texans-announce-2018-assistant-coaching-staff-20357211,official_team,2026-09-04,Complete 2018 assistant staff announcement,Official complete staff announcement supports no separately designated offensive coordinator.,2018 assistant coaching staff|Bill O'Brien
2018-IND-quarterbacks_coach-no-role-01-17,2018,IND,quarterbacks_coach,1,17,verified_no_designated_role,high,season_designation,https://www.colts.com/news/indianapolis-colts-finalize-2018-coaching-staff-20394484,official_team,2026-09-04,February 23 2018 complete staff announcement,Official complete staff announcement names only an assistant-quarterbacks position and supports no separately designated primary quarterbacks coach.,Marcus Brady|assistant quarterbacks coach
2018-LA-offensive_coordinator-no-role-01-17,2018,LA,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.therams.com/news/sean-mcvay-on-rams-coaching-staff-continuity-going-into-2025-unless-guys-get-better-opportunities-we-ll-have-the-same-staff-next-year,official_team,2026-09-04,Retrospective coordinator-title history,Official retrospective explicitly supports no separately designated offensive coordinator in 2018.,2018|offensive coordinator
2018-SF-offensive_coordinator-no-role-01-17,2018,SF,offensive_coordinator,1,17,verified_no_designated_role,medium,season_designation,https://static.clubs.nfl.com/image/upload/saints/cppryvovnkj3awae4uju.pdf,official_book,2026-09-04,PDF page 214 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator.,
2019-ARI-offensive_coordinator-no-role-01-17,2019,ARI,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.azcardinals.com/news/cardinals-kliff-kingsbury-loves-xs-and-os-but-understands-his-aspect-of-ceo,official_team,2026-09-04,Kliff Kingsbury role-structure feature,Official team reporting explains Kingsbury's structure and supports no separately designated offensive coordinator.,title is not offensive coordinator|Kliff Kingsbury
2019-LA-offensive_coordinator-no-role-01-17,2019,LA,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.therams.com/news/sean-mcvay-on-rams-coaching-staff-continuity-going-into-2025-unless-guys-get-better-opportunities-we-ll-have-the-same-staff-next-year,official_team,2026-09-04,Retrospective coordinator-title history,Official retrospective explicitly supports no separately designated offensive coordinator in 2019.,2019|offensive coordinator
2019-LV-quarterbacks_coach-no-role-01-17,2019,LV,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://static.www.nfl.com/image/upload/league/f60ftapcsbynqgymw72q.pdf,official_book,2026-09-04,PDF page 122 complete staff listing,Complete official staff listing supports no separately designated quarterbacks coach.,
2019-SF-offensive_coordinator-no-role-01-17,2019,SF,offensive_coordinator,1,17,verified_no_designated_role,medium,season_designation,https://static.www.nfl.com/image/upload/league/f60ftapcsbynqgymw72q.pdf,official_book,2026-09-04,PDF page 214 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator.,
2020-ARI-offensive_coordinator-no-role-01-17,2020,ARI,offensive_coordinator,1,17,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202020%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,PDF page 142 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator.,
2020-CLE-quarterbacks_coach-no-role-01-17,2020,CLE,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202020%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,PDF page 62 complete staff listing,Complete official staff listing supports no separately designated quarterbacks coach.,
2020-LV-quarterbacks_coach-no-role-01-17,2020,LV,quarterbacks_coach,1,17,verified_no_designated_role,high,season_designation,https://www.raiders.com/photos/raiders-2020-coaching-staff,official_team,2026-09-04,Complete official coaching-staff gallery,Official complete staff gallery supports no separately designated quarterbacks coach.,Greg Olson - Offensive Coordinator|Jon Gruden - Head Coach
2020-PHI-offensive_coordinator-no-role-01-17,2020,PHI,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.philadelphiaeagles.com/news/theme-to-the-eagles-changes-fresh-minds-fresh-ideas,official_team,2026-09-04,2020 offensive staff structure,Official team report explicitly describes a nontraditional structure with no separately designated offensive coordinator.,minus an offensive coordinator
2020-SF-offensive_coordinator-no-role-01-17,2020,SF,offensive_coordinator,1,17,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202020%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,PDF page 214 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator.,
2021-ARI-offensive_coordinator-no-role-01-18,2021,ARI,offensive_coordinator,1,18,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202021%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,PDF page 139 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator.,
2021-CLE-quarterbacks_coach-no-role-01-18,2021,CLE,quarterbacks_coach,1,18,verified_no_designated_role,high,season_designation,https://www.clevelandbrowns.com/news/qbs-coach-drew-petzing-extremely-excited-to-elevate-browns-offense-with-deshaun-,official_team,2026-09-04,2022 Drew Petzing role transition,Official retrospective states Petzing entered the QB room in 2022 after two years coaching tight ends and supports no separately designated quarterbacks coach in 2021.,last two years as the tight ends coach|first in the QB room
2021-LA-quarterbacks_coach-no-role-01-18,2021,LA,quarterbacks_coach,1,18,verified_no_designated_role,high,season_designation,https://www.therams.com/photos/first-look-rams-2021-coaching-staff,official_team,2026-09-04,2021 complete coaching-staff gallery,Official complete staff gallery names only an assistant-quarterbacks position and supports no separately designated primary quarterbacks coach.,Assistant Quarterbacks Coach|Zac Robinson
2021-LV-quarterbacks_coach-no-role-01-18,2021,LV,quarterbacks_coach,1,18,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202021%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,PDF page 95 complete staff listing,Complete official staff listing supports no separately designated quarterbacks coach.,
2022-ARI-offensive_coordinator-no-role-01-18,2022,ARI,offensive_coordinator,1,18,verified_no_designated_role,high,season_designation,https://www.azcardinals.com/news/shawn-jefferson-promoted-to-associate-head-coach-cardinals-staff-moves,official_team,2026-09-04,2022 offensive staff changes,Official team article describes coordinator responsibilities and supports no separately designated overall offensive coordinator.,does not have an overall offensive coordinator|co-pass game coordinators
2022-NE-offensive_coordinator-no-role-01-18,2022,NE,offensive_coordinator,1,18,verified_no_designated_role,high,season_designation,https://www.patriots.com/news/patricia-judge-excited-to-be-back-coaching-for-patriots,official_team,2026-09-04,2022 offensive staff structure,Official team report identifies the distributed offensive assignments and supports no separately designated offensive coordinator.,Matt Patricia|Joe Judge
2022-SF-offensive_coordinator-no-role-01-18,2022,SF,offensive_coordinator,1,18,verified_no_designated_role,high,season_designation,https://www.49ers.com/news/49ers-uk-2022-roster-breakdown-coaches-kyle-shanahan-demeco-ryans,official_team,2026-09-04,Complete 2022 coaching staff listing,Official complete staff listing supports no separately designated offensive coordinator.,2022|Kyle Shanahan
2023-ATL-quarterbacks_coach-no-role-01-18,2023,ATL,quarterbacks_coach,1,18,verified_no_designated_role,high,season_designation,https://www.atlantafalcons.com/news/bijan-robinson-desmond-ridder-nfl-draft-2024-arthur-smith-cardinals-kyler-murray,official_team,2026-09-04,November 10 role clarification,Official team report explicitly states there was no separately designated quarterbacks coach by title while Dave Ragone ran the room.,quarterbacks coach by title|Dave Ragone runs the quarterback room
2023-SF-offensive_coordinator-no-role-01-18,2023,SF,offensive_coordinator,1,18,verified_no_designated_role,high,season_designation,https://www.49ers.com/news/john-lynch-kyle-shanahan-talk-offseason-coaching-changes,official_team,2026-09-04,January 2025 offensive-coordinator title announcement,Official retrospective states Klay Kubiak had performed the function without the title and supports no separately designated offensive coordinator in 2023.,offensive coordinator|hasn't had that title yet
2024-SF-offensive_coordinator-no-role-01-18,2024,SF,offensive_coordinator,1,18,verified_no_designated_role,high,season_designation,https://www.49ers.com/news/john-lynch-kyle-shanahan-talk-offseason-coaching-changes,official_team,2026-09-04,January 2025 offensive-coordinator title announcement,Official retrospective states Klay Kubiak had performed the function without the title and supports no separately designated offensive coordinator in 2024.,offensive coordinator|hasn't had that title yet
